epoch:0, train_loss:0.0673, val_loss:0.0648, train_F1:0.9401, val_F1:0.9416, train_prec:0.9080, val_prec:0.9088, train_recall:0.9746, val_recall:0.9768, train_auc:0.8420, val_auc:0.8600, train_pr:0.9725, val_pr:0.9760
epoch:15, train_loss:0.0432, val_loss:0.0624, train_F1:0.9629, val_F1:0.9440, train_prec:0.9419, val_prec:0.9210, train_recall:0.9849, val_recall:0.9681, train_auc:0.9449, val_auc:0.8770, train_pr:0.9913, val_pr:0.9793
epoch:16, train_loss:0.0422, val_loss:0.0626, train_F1:0.9638, val_F1:0.9439, train_prec:0.9429, val_prec:0.9208, train_recall:0.9857, val_recall:0.9682, train_auc:0.9485, val_auc:0.8769, train_pr:0.9918, val_pr:0.9792
epoch:17, train_loss:0.0409, val_loss:0.0627, train_F1:0.9651, val_F1:0.9440, train_prec:0.9446, val_prec:0.9206, train_recall:0.9864, val_recall:0.9686, train_auc:0.9520, val_auc:0.8757, train_pr:0.9924, val_pr:0.9789
epoch:18, train_loss:0.0397, val_loss:0.0630, train_F1:0.9665, val_F1:0.9430, train_prec:0.9470, val_prec:0.9222, train_recall:0.9867, val_recall:0.9647, train_auc:0.9551, val_auc:0.8743, train_pr:0.9929, val_pr:0.9786
epoch:19, train_loss:0.0388, val_loss:0.0637, train_F1:0.9676, val_F1:0.9441, train_prec:0.9487, val_prec:0.9206, train_recall:0.9871, val_recall:0.9689, train_auc:0.9581, val_auc:0.8748, train_pr:0.9934, val_pr:0.9785
epoch:20, train_loss:0.0372, val_loss:0.0646, train_F1:0.9693, val_F1:0.9394, train_prec:0.9507, val_prec:0.9303, train_recall:0.9887, val_recall:0.9487, train_auc:0.9619, val_auc:0.8769, train_pr:0.9940, val_pr:0.9793
epoch:21, train_loss:0.0359, val_loss:0.0643, train_F1:0.9705, val_F1:0.9441, train_prec:0.9524, val_prec:0.9208, train_recall:0.9892, val_recall:0.9685, train_auc:0.9647, val_auc:0.8743, train_pr:0.9945, val_pr:0.9784
epoch:22, train_loss:0.0352, val_loss:0.0644, train_F1:0.9716, val_F1:0.9438, train_prec:0.9541, val_prec:0.9211, train_recall:0.9897, val_recall:0.9676, train_auc:0.9670, val_auc:0.8735, train_pr:0.9948, val_pr:0.9783
epoch:23, train_loss:0.0341, val_loss:0.0655, train_F1:0.9728, val_F1:0.9371, train_prec:0.9558, val_prec:0.9317, train_recall:0.9904, val_recall:0.9425, train_auc:0.9694, val_auc:0.8752, train_pr:0.9952, val_pr:0.9790
epoch:24, train_loss:0.0332, val_loss:0.0645, train_F1:0.9738, val_F1:0.9414, train_prec:0.9575, val_prec:0.9258, train_recall:0.9907, val_recall:0.9575, train_auc:0.9717, val_auc:0.8745, train_pr:0.9956, val_pr:0.9784
epoch:25, train_loss:0.0320, val_loss:0.0654, train_F1:0.9749, val_F1:0.9437, train_prec:0.9593, val_prec:0.9196, train_recall:0.9910, val_recall:0.9691, train_auc:0.9741, val_auc:0.8715, train_pr:0.9959, val_pr:0.9774
epoch:26, train_loss:0.0310, val_loss:0.0655, train_F1:0.9759, val_F1:0.9418, train_prec:0.9603, val_prec:0.9250, train_recall:0.9920, val_recall:0.9592, train_auc:0.9762, val_auc:0.8725, train_pr:0.9963, val_pr:0.9780
epoch:27, train_loss:0.0303, val_loss:0.0660, train_F1:0.9769, val_F1:0.9403, train_prec:0.9617, val_prec:0.9259, train_recall:0.9925, val_recall:0.9553, train_auc:0.9779, val_auc:0.8728, train_pr:0.9965, val_pr:0.9781
epoch:28, train_loss:0.0294, val_loss:0.0662, train_F1:0.9780, val_F1:0.9418, train_prec:0.9634, val_prec:0.9247, train_recall:0.9930, val_recall:0.9596, train_auc:0.9795, val_auc:0.8724, train_pr:0.9968, val_pr:0.9777
epoch:29, train_loss:0.0286, val_loss:0.0674, train_F1:0.9788, val_F1:0.9388, train_prec:0.9648, val_prec:0.9282, train_recall:0.9932, val_recall:0.9497, train_auc:0.9811, val_auc:0.8733, train_pr:0.9971, val_pr:0.9781
epoch:30, train_loss:0.0278, val_loss:0.0672, train_F1:0.9800, val_F1:0.9429, train_prec:0.9663, val_prec:0.9204, train_recall:0.9940, val_recall:0.9664, train_auc:0.9828, val_auc:0.8678, train_pr:0.9973, val_pr:0.9761
epoch:31, train_loss:0.0268, val_loss:0.0677, train_F1:0.9809, val_F1:0.9423, train_prec:0.9678, val_prec:0.9223, train_recall:0.9944, val_recall:0.9631, train_auc:0.9841, val_auc:0.8690, train_pr:0.9975, val_pr:0.9764
epoch:32, train_loss:0.0260, val_loss:0.0688, train_F1:0.9814, val_F1:0.9439, train_prec:0.9685, val_prec:0.9198, train_recall:0.9947, val_recall:0.9692, train_auc:0.9853, val_auc:0.8670, train_pr:0.9977, val_pr:0.9756
epoch:33, train_loss:0.0254, val_loss:0.0681, train_F1:0.9821, val_F1:0.9417, train_prec:0.9695, val_prec:0.9230, train_recall:0.9950, val_recall:0.9611, train_auc:0.9863, val_auc:0.8675, train_pr:0.9979, val_pr:0.9761
epoch:34, train_loss:0.0248, val_loss:0.0683, train_F1:0.9829, val_F1:0.9400, train_prec:0.9708, val_prec:0.9254, train_recall:0.9952, val_recall:0.9551, train_auc:0.9874, val_auc:0.8686, train_pr:0.9980, val_pr:0.9765
epoch:35, train_loss:0.0239, val_loss:0.0695, train_F1:0.9839, val_F1:0.9413, train_prec:0.9726, val_prec:0.9234, train_recall:0.9955, val_recall:0.9600, train_auc:0.9884, val_auc:0.8660, train_pr:0.9982, val_pr:0.9755
epoch:36, train_loss:0.0234, val_loss:0.0701, train_F1:0.9843, val_F1:0.9429, train_prec:0.9731, val_prec:0.9207, train_recall:0.9958, val_recall:0.9661, train_auc:0.9892, val_auc:0.8652, train_pr:0.9983, val_pr:0.9752
epoch:37, train_loss:0.0228, val_loss:0.0689, train_F1:0.9848, val_F1:0.9390, train_prec:0.9736, val_prec:0.9259, train_recall:0.9962, val_recall:0.9524, train_auc:0.9900, val_auc:0.8673, train_pr:0.9984, val_pr:0.9760
epoch:38, train_loss:0.0222, val_loss:0.0701, train_F1:0.9857, val_F1:0.9409, train_prec:0.9751, val_prec:0.9232, train_recall:0.9965, val_recall:0.9593, train_auc:0.9907, val_auc:0.8659, train_pr:0.9985, val_pr:0.9753
epoch:39, train_loss:0.0218, val_loss:0.0700, train_F1:0.9860, val_F1:0.9400, train_prec:0.9758, val_prec:0.9254, train_recall:0.9964, val_recall:0.9551, train_auc:0.9914, val_auc:0.8663, train_pr:0.9987, val_pr:0.9755
epoch:40, train_loss:0.0210, val_loss:0.0706, train_F1:0.9867, val_F1:0.9412, train_prec:0.9767, val_prec:0.9232, train_recall:0.9969, val_recall:0.9600, train_auc:0.9922, val_auc:0.8663, train_pr:0.9988, val_pr:0.9753
epoch:41, train_loss:0.0205, val_loss:0.0713, train_F1:0.9872, val_F1:0.9407, train_prec:0.9775, val_prec:0.9237, train_recall:0.9972, val_recall:0.9584, train_auc:0.9927, val_auc:0.8666, train_pr:0.9989, val_pr:0.9754
epoch:42, train_loss:0.0201, val_loss:0.0699, train_F1:0.9876, val_F1:0.9397, train_prec:0.9782, val_prec:0.9254, train_recall:0.9973, val_recall:0.9545, train_auc:0.9931, val_auc:0.8655, train_pr:0.9989, val_pr:0.9751
epoch:43, train_loss:0.0198, val_loss:0.0722, train_F1:0.9879, val_F1:0.9423, train_prec:0.9786, val_prec:0.9219, train_recall:0.9974, val_recall:0.9635, train_auc:0.9937, val_auc:0.8637, train_pr:0.9990, val_pr:0.9744
epoch:44, train_loss:0.0192, val_loss:0.0715, train_F1:0.9885, val_F1:0.9413, train_prec:0.9796, val_prec:0.9227, train_recall:0.9976, val_recall:0.9606, train_auc:0.9940, val_auc:0.8649, train_pr:0.9991, val_pr:0.9747
epoch:45, train_loss:0.0188, val_loss:0.0727, train_F1:0.9889, val_F1:0.9415, train_prec:0.9804, val_prec:0.9216, train_recall:0.9976, val_recall:0.9624, train_auc:0.9945, val_auc:0.8629, train_pr:0.9991, val_pr:0.9741
epoch:46, train_loss:0.0184, val_loss:0.0733, train_F1:0.9891, val_F1:0.9424, train_prec:0.9805, val_prec:0.9207, train_recall:0.9977, val_recall:0.9652, train_auc:0.9950, val_auc:0.8629, train_pr:0.9992, val_pr:0.9740
epoch:47, train_loss:0.0181, val_loss:0.0733, train_F1:0.9897, val_F1:0.9424, train_prec:0.9815, val_prec:0.9207, train_recall:0.9980, val_recall:0.9652, train_auc:0.9953, val_auc:0.8621, train_pr:0.9993, val_pr:0.9737
epoch:48, train_loss:0.0176, val_loss:0.0734, train_F1:0.9899, val_F1:0.9410, train_prec:0.9820, val_prec:0.9228, train_recall:0.9981, val_recall:0.9600, train_auc:0.9955, val_auc:0.8633, train_pr:0.9993, val_pr:0.9742
epoch:49, train_loss:0.0172, val_loss:0.0743, train_F1:0.9902, val_F1:0.9417, train_prec:0.9824, val_prec:0.9218, train_recall:0.9981, val_recall:0.9625, train_auc:0.9959, val_auc:0.8629, train_pr:0.9994, val_pr:0.9738
epoch:50, train_loss:0.0170, val_loss:0.0738, train_F1:0.9906, val_F1:0.9408, train_prec:0.9832, val_prec:0.9231, train_recall:0.9982, val_recall:0.9592, train_auc:0.9963, val_auc:0.8617, train_pr:0.9994, val_pr:0.9737
epoch:51, train_loss:0.0166, val_loss:0.0741, train_F1:0.9910, val_F1:0.9409, train_prec:0.9837, val_prec:0.9233, train_recall:0.9983, val_recall:0.9592, train_auc:0.9964, val_auc:0.8619, train_pr:0.9994, val_pr:0.9737
epoch:52, train_loss:0.0163, val_loss:0.0776, train_F1:0.9914, val_F1:0.9434, train_prec:0.9844, val_prec:0.9189, train_recall:0.9985, val_recall:0.9692, train_auc:0.9966, val_auc:0.8588, train_pr:0.9995, val_pr:0.9723
epoch:53, train_loss:0.0160, val_loss:0.0771, train_F1:0.9913, val_F1:0.9432, train_prec:0.9843, val_prec:0.9187, train_recall:0.9985, val_recall:0.9690, train_auc:0.9969, val_auc:0.8583, train_pr:0.9995, val_pr:0.9719
epoch:54, train_loss:0.0157, val_loss:0.0744, train_F1:0.9917, val_F1:0.9415, train_prec:0.9848, val_prec:0.9215, train_recall:0.9987, val_recall:0.9623, train_auc:0.9971, val_auc:0.8592, train_pr:0.9995, val_pr:0.9726
epoch:55, train_loss:0.0154, val_loss:0.0751, train_F1:0.9921, val_F1:0.9403, train_prec:0.9856, val_prec:0.9246, train_recall:0.9987, val_recall:0.9565, train_auc:0.9972, val_auc:0.8605, train_pr:0.9996, val_pr:0.9734
epoch:56, train_loss:0.0151, val_loss:0.0764, train_F1:0.9924, val_F1:0.9416, train_prec:0.9862, val_prec:0.9214, train_recall:0.9987, val_recall:0.9626, train_auc:0.9974, val_auc:0.8594, train_pr:0.9996, val_pr:0.9727
epoch:57, train_loss:0.0149, val_loss:0.0756, train_F1:0.9926, val_F1:0.9410, train_prec:0.9865, val_prec:0.9222, train_recall:0.9988, val_recall:0.9605, train_auc:0.9975, val_auc:0.8595, train_pr:0.9996, val_pr:0.9729
